IssueID,Phase,Epic,Title,Owner,DependsOn,Priority,Estimate,DoneWhen
A-1,0,Foundation Freeze,Freeze product foundation ADR,Architecture Lead,,P0,M,"ADR adopted; layers and prohibitions fixed"
A-2,0,Foundation Freeze,Freeze canonical project schema,Schema/Core,A-1,P0,M,"Schema doc + examples + migration notes ready"
A-3,0,Foundation Freeze,Freeze canonical runtime pack,Architecture+Runtime,A-1,P0,M,"Runtime pack doc with ownership/diagnostics ready"
A-4,0,Foundation Freeze,Freeze capability facets,Architecture+Library,A-2,P0,M,"Facets spec with TimedRelay/Flowmeter/PID examples"
A-5,0,Foundation Freeze,Freeze UI/runtime merge contract,Architecture Lead,"A-2|A-3",P0,S,"Project->pack->runtime and reverse telemetry path fixed"
B-1,1,Shared Schema Package,Create packages/schema,Schema/Core,"A-2|A-4",P0,M,"Package skeleton and exports ready"
B-2,1,Shared Schema Package,Implement canonical domain types,Schema/Core,B-1,P0,L,"Core types exported and versioned"
B-3,1,Shared Schema Package,Implement validators,Schema/Core,B-2,P0,M,"Structural and endpoint validation covered by tests"
B-4,1,Shared Schema Package,Implement migrations,Schema/Core,B-2,P1,M,"Legacy->0.4.x migrations with fixtures ready"
B-5,1,Shared Schema Package,Prepare fixture library,Schema/Core+QA,"B-3|B-4",P1,M,"Relay/flowmeter/pid/boiler fixtures ready"
C-1,2,UI Canonicalization,Import shared schema into UI,Frontend,B-2,P0,M,"UI consumes shared schema package"
C-2,2,UI Canonicalization,Convert system endpoints to instance_id/port_id,Frontend,C-1,P0,L,"Signal editor/inspector/build snapshot use stable endpoints"
C-3,2,UI Canonicalization,Remove canonical system.routes,Frontend,C-2,P0,M,"Routes are derived only"
C-4,2,UI Canonicalization,Narrow vm to transient view-model,Frontend,C-1,P1,M,"No second domain logic in vm"
C-5,2,UI Canonicalization,Stabilize Definitions Instance Overview Composition,Frontend,C-1,P0,L,"Navigation/selection/layout/diagnostics stable"
C-6,2,UI Canonicalization,Add component faces shell,Frontend,"A-4|C-5",P1,M,"Overview/Setup/Tune/Actions/Trends/Diagnostics/Simulation shells exist"
D-1,3,Materializer Core,Create packages/materializer,Compiler/Materializer,"A-3|B-2",P0,M,"Package skeleton and public API ready"
D-2,3,Materializer Core,Implement semantic validation pipeline,Compiler/Materializer,"D-1|B-3",P0,M,"Validation report with severities and paths"
D-3,3,Materializer Core,Implement ref resolution,Compiler/Materializer,D-2,P0,M,"Type refs interfaces and params resolved"
D-4,3,Materializer Core,Implement composition elaboration,Compiler/Materializer,D-3,P0,L,"Hierarchy expansion with stable generated ids"
D-5,3,Materializer Core,Implement system signal lowering,Compiler/Materializer,D-3,P0,M,"Signals lower to normalized routes with identity preserved"
