IssueID,Type,EpicID,Epic,Title,Area,Owner,Priority,Sprint,Points,DependsOn,Labels,DoneWhen,Description
A-1,Task,EPIC-01,Foundation Freeze,Принять ADR: Product Foundation Freeze,Architecture,Lead,P0,S1,3,,"architecture,adr,freeze","Есть утверждённый ADR с формулой продукта, границами слоёв и запретами.",Зафиксировать canonical formula: Authoring Platform -> Materializer -> Runtime Target.
A-2,Task,EPIC-01,Foundation Freeze,Заморозить canonical project schema v0.4.x,Schema/Core,Core,P0,S1,5,A-1,"schema,freeze,project-model","Есть документ, fixture и versioning rules для project schema.",Закрепить Project/Definitions/System/Hardware/Views/layouts и signal-first System.
A-3,Task,EPIC-01,Foundation Freeze,Заморозить canonical runtime pack schema v0.1,Architecture+Runtime,Lead+Runtime,P0,S1,5,A-1,"runtime-pack,freeze,target","Есть отдельный документ runtime pack с ownership, diagnostics и target constraints.","Закрепить materialized flat runtime model, отдельную от authoring schema."
A-4,Task,EPIC-01,Foundation Freeze,Заморозить capability facets v1,Architecture+Library,Lead+Library,P0,S1,5,A-2,"facets,library,ux",Есть spec для setup/tuning/operations/debug/simulation/views/recipes/security/comms.,Задать поперечные capability contracts для library objects.
A-5,Task,EPIC-01,Foundation Freeze,Заморозить merge contract UI <-> Materializer <-> Runtime,Architecture,Lead,P0,S1,3,A-2|A-3,"merge-contract,freeze","Есть схема данных, потоки apply/telemetry и ownership mapping.","Зафиксировать, что UI не работает напрямую с runtime CRUD как с языком продукта."
A-6,Task,EPIC-01,Foundation Freeze,Подготовить decision log по спорным местам,Architecture,Lead,P1,S1,2,A-1,decision-log,"Есть список решений: system.signals canonical, composition route-first, routes derived only.",Убрать двусмысленности до начала интенсивной реализации.
B-1,Task,EPIC-02,Shared Schema & Packages,Создать packages/schema,Schema/Core,Core,P0,S1,3,A-2,"repo,package,schema",Есть отдельный пакет со сборкой и экспортами.,Вынести канонические доменные типы в shared package.
B-2,Task,EPIC-02,Shared Schema & Packages,Реализовать canonical TS types,Schema/Core,Core,P0,S1,5,B-1,"types,ts",ObjectType/ObjectInstance/SystemSignal/CompositionRoute описаны и экспортируются.,Сделать типы для authoring schema и facets.
B-3,Task,EPIC-02,Shared Schema & Packages,Реализовать validators для project schema,Schema/Core,Core,P0,S2,5,B-2,"validation,schema",Есть структурная и ссылочная валидация с путями ошибок.,"Проверки: ids, refs, endpoint shape, duplicates, params, facets."
B-4,Task,EPIC-02,Shared Schema & Packages,Реализовать миграции legacy -> 0.4.x,Schema/Core,Core,P1,S2,5,B-2,"migration,legacy",Есть migration pipeline и фикстуры старых проектов.,Нормализовать current UI bridge и старые проектные формы.
B-5,Task,EPIC-02,Shared Schema & Packages,Подготовить fixture library,Schema/Core+QA,Core+QA,P1,S2,3,B-3|B-4,"fixtures,qa","Есть минимальные fixture-проекты: relay, flowmeter, pid, boiler skeleton.",Нужны эталонные проекты для тестов materializer и UI.
B-6,Task,EPIC-02,Shared Schema & Packages,Создать packages/contracts для facets и operations,Schema/Core,Core,P1,S2,3,A-4|B-2,"contracts,operations,facets","Есть экспортируемые контракты facets, operations, trace groups, view hints.",Отделить общие capability contracts от UI/Runtime.
B-7,Task,EPIC-02,Shared Schema & Packages,Добавить versioning и migration notes,Schema/Core,Core,P1,S2,2,B-4,"versioning,docs",Правила schema versioning и миграции опубликованы.,Подготовить базу под future library/package updates.
C-1,Task,EPIC-03,UI Canonicalization,Подключить shared schema package в UI,Frontend,Frontend,P0,S2,3,B-2,"frontend,schema",UI компилируется на shared schema без локальных дублей типов.,Перевести UI на общий контракт.
C-2,Task,EPIC-03,UI Canonicalization,Перевести system endpoints на instance_id/port_id,Frontend,Frontend,P0,S2,5,C-1,"frontend,signals,endpoints","Все system signals, inspector и selection используют стабильные endpoint ids.",Убрать legacy object_id/port shape.
C-3,Task,EPIC-03,UI Canonicalization,Убрать canonical system.routes из project model,Frontend,Frontend,P0,S2,3,C-2,"frontend,signals,routes",Routes на system-level строятся только как derived/preview data.,Сигнал остаётся канонической authoring-сущностью.
C-4,Task,EPIC-03,UI Canonicalization,Сузить vm до transient view-model,Frontend,Frontend,P1,S3,5,C-1,"frontend,vm,cleanup","В vm нет второй доменной логики, только transient UI state.",Прекратить поддерживать второй параллельный редакторный мир.
C-5,Task,EPIC-03,UI Canonicalization,Стабилизировать Definitions / Instance Overview / Composition,Frontend,Frontend,P0,S3,8,C-1,"frontend,definitions,composition","Навигация, selection, layout, inspector и diagnostics стабильны.",Довести новый authoring shell до рабочего baseline.
C-6,Task,EPIC-03,UI Canonicalization,Добавить shells для component faces,Frontend,Frontend,P1,S3,5,A-4|C-5,"frontend,faces,ux",Есть вкладки Overview/Setup/Tune/Actions/Trends/Diagnostics/Simulation с базовой навигацией.,Заложить прогрессивное раскрытие сложности.
C-7,Task,EPIC-03,UI Canonicalization,Подключить semantic build preview к UI,Frontend+Materializer,Frontend+Mat,P1,S3,5,D-2,"frontend,build-preview",UI может запускать validate/build preview и показывать diagnostics по owner ids.,Уйти от прямой привязки UI к runtime сущностям.
C-8,Task,EPIC-03,UI Canonicalization,Стабилизировать migration UX для legacy projects,Frontend,Frontend,P2,S3,3,B-4|C-5,"migration,ux",Есть понятное отображение Generated Types и migration notices.,"Пользователь понимает, как legacy объект стал type+instance."
D-1,Task,EPIC-04,Materializer Core,Создать packages/materializer,Compiler/Materializer,Materializer,P0,S2,3,A-3|B-2,"materializer,package","Есть пакет со сборкой, API и тестовым harness.",Вынести materializer в shared слой.
